,REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
387,171980.0,2017-07-20T14:43:00,"City Steps, Need Cleared",Control Panel,1,DPW - Street Maintenance,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.01856629999999,40.4911736,EXACT
389,185004.0,2017-09-06T14:23:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Overbrook,4.0,32.0,42003320700.0,5.0,32.0,3.0,4-25,-79.99894379999999,40.386556299999995,EXACT
390,111849.0,2016-10-20T08:11:00,Potholes,Call Center,1,DPW - Street Maintenance,Overbrook,4.0,32.0,42003320700.0,5.0,32.0,3.0,4-25,-80.0029181,40.3777586,EXACT
391,192235.0,2017-10-09T13:02:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Perry South,6.0,26.0,42003261400.0,1.0,26.0,1.0,1-12,-80.0160621924336,40.466018906586,APPROXIMATE
392,130429.0,2017-02-07T09:52:00,Replace/Repair a Sign,Control Panel,1,DOMI - TrafficShop,East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-6,-79.9991557,40.453764299999996,EXACT
393,192251.0,2017-10-09T13:36:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Perry South,6.0,26.0,42003261400.0,1.0,26.0,1.0,1-12,-80.0161897777656,40.4661146890422,APPROXIMATE
394,168050.0,2017-07-07T11:38:00,Field,Call Center,1,DPW - Park Maintenance,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0186603526398,40.4924964061524,EXACT
395,175241.0,2017-08-01T09:33:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.00218474173359,40.4611024403443,EXACT
396,188239.0,2017-09-20T11:11:00,Parks Trails,Call Center,1,DPW - Park Maintenance,Squirrel Hill South,5.0,14.0,42003980300.0,3.0,14.0,4.0,2-21,-79.90961209999999,40.4321561,EXACT
397,173467.0,2017-07-26T10:22:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Stanton Heights,7.0,10.0,42003101800.0,2.0,10.0,5.0,3-7,-79.9306114,40.4855684,EXACT
398,189418.0,2017-09-26T08:17:00,"Manhole Covers, PWSA",Call Center,1,Pittsburgh Water and Sewer Authority,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-80.0002635,40.4432402,EXACT
399,189709.0,2017-09-26T23:05:00,Collapsed Catch Basin,Website,1,Pittsburgh Water and Sewer Authority,Point Breeze,8.0,14.0,42003140200.0,3.0,14.0,4.0,2-17,-79.9215406179428,40.4474736819315,EXACT
400,111056.0,2016-10-17T09:28:00,Lead Testing Kit,Call Center,1,Pittsburgh Water and Sewer Authority,Squirrel Hill North,8.0,14.0,42003140300.0,3.0,14.0,4.0,2-18,-79.9248034512362,40.439661046263396,APPROXIMATE
401,163012.0,2017-06-19T10:02:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.0199205,40.38887879999999,EXACT
402,178454.0,2017-08-11T08:17:00,Tree Removal,Call Center,1,DPW - Forestry Division,Hazelwood,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-13,-79.934638,40.4151284,EXACT
403,67739.0,2016-05-09T15:20:00,City Source (CDBG),Control Panel,1,"City Source Associates, Inc.",Upper Hill,6.0,5.0,42003050600.0,3.0,5.0,2.0,2-22,-79.9596624375661,40.45520265493089,APPROXIMATE
404,79528.0,2016-06-16T10:02:00,Tree Removal,Call Center,1,DPW - Forestry Division,Mount Washington,2.0,19.0,42003190300.0,5.0,19.0,3.0,4-1,-80.0154437,40.4361239,EXACT
405,172500.0,2017-07-24T07:49:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Shadyside,8.0,7.0,42003070600.0,2.0,7.0,4.0,3-11,-79.923795,40.453426,EXACT
406,187686.0,2017-09-18T15:18:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191900.0,5.0,19.0,6.0,4-26,-80.021648,40.3995848,EXACT
407,179756.0,2017-08-16T09:41:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.03213901779101,40.4697154220313,EXACT
408,188184.0,2017-09-20T09:46:00,Paving Concern/Problem,Control Panel,1,DOMI - Asphalt,Allentown,3.0,18.0,42003180300.0,5.0,18.0,3.0,4-6,-79.989653,40.4187092,EXACT
409,187623.0,2017-09-18T13:37:00,Paving Concern/Problem,Call Center,1,DOMI - Asphalt,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.997748,40.4414483,EXACT
410,159567.0,2017-06-06T09:25:00,Retaining Wall (Public Property),Control Panel,1,DOMI - Structures,South Side Flats,3.0,16.0,42003160900.0,3.0,16.0,3.0,4-24,-79.9724927,40.4263274136526,EXACT
411,187448.0,2017-09-18T09:04:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Point Breeze,8.0,14.0,42003140600.0,3.0,14.0,4.0,3-14,-79.90777840000001,40.4479821,EXACT
412,8168.0,2015-06-08T13:45:00,"City Steps, Need Repaired",Call Center,1,DOMI - Streets,South Side Slopes,3.0,17.0,42003170600.0,3.0,17.0,3.0,4-22,-79.9850224,40.42058839999999,EXACT
413,156778.0,2017-05-25T13:30:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Brighton Heights,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0299445,40.4770011,EXACT
414,189444.0,2017-09-26T08:48:00,Water Main Break,Call Center,1,Pittsburgh Water and Sewer Authority,Terrace Village,6.0,5.0,42003051000.0,3.0,5.0,2.0,2-1,-79.9749686693116,40.443607509268105,EXACT
415,190496.0,2017-09-29T14:55:00,"Manhole Covers, PWSA",Call Center,1,Pittsburgh Water and Sewer Authority,Lower Lawrenceville,7.0,6.0,42003060300.0,2.0,6.0,2.0,3-3,-79.9637438,40.46757,EXACT
416,180859.0,2017-08-21T11:30:00,Abandoned Vehicle (parked on street),Call Center,1,Police - AVU,Knoxville,3.0,30.0,42003300100.0,5.0,30.0,3.0,4-7,-79.99379105449991,40.4123858146611,APPROXIMATE
417,190225.0,2017-09-28T14:28:00,Street Cleaning/Sweeping,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.984774,40.403828999999995,EXACT
418,189671.0,2017-09-26T15:50:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Hazelwood,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-13,-79.9376932,40.413275,EXACT
419,171870.0,2017-07-20T11:50:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.9810383,40.403153,EXACT
420,171266.0,2017-07-19T07:24:00,Potholes,Website,1,DPW - Street Maintenance,Overbrook,4.0,32.0,42003320700.0,5.0,32.0,3.0,4-25,-80.000667,40.383932,EXACT
421,179278.0,2017-08-14T16:20:00,Barricades,Call Center,1,DPW - Street Maintenance,Spring Hill-City View,1.0,26.0,42003262000.0,1.0,26.0,1.0,1-11,-80.00061720000001,40.4696396,EXACT
422,175908.0,2017-08-02T14:51:00,Litter,Call Center,1,DPW - Street Maintenance,East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-6,-79.9991557,40.453764299999996,EXACT
423,189795.0,2017-09-27T10:06:00,Street Cleaning/Sweeping,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.9827689,40.3950305,EXACT
424,186869.0,2017-09-14T12:07:00,"City Steps, Need Cleared",Control Panel,1,DPW - Street Maintenance,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0303792,40.475347799999994,EXACT
425,186853.0,2017-09-14T11:02:00,Utility Cut - PWSA,Call Center,1,Pittsburgh Water and Sewer Authority,East Liberty,9.0,11.0,42003111500.0,2.0,11.0,5.0,3-8,-79.92875529999999,40.463392,EXACT
426,169976.0,2017-07-14T09:58:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.01104659999999,40.478707799999995,EXACT
427,171868.0,2017-07-20T11:49:00,Public Right of Way,Control Panel,1,DPW - Street Maintenance,Perry North,1.0,26.0,42003980400.0,1.0,26.0,1.0,1-15,-80.021908,40.4895329,EXACT
428,133501.0,2017-02-22T15:23:00,Illegal Dumping,Control Panel,1,DOMI - Permits,Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.99434116195391,40.4630027580004,APPROXIMATE
429,176701.0,2017-08-04T14:47:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.9935393,40.4639239,EXACT
430,189382.0,2017-09-25T18:29:00,Manhole Cover ,Call Center,1,DOMI - Permits,Lincoln-Lemington-Belmar,9.0,12.0,42003561900.0,2.0,12.0,5.0,3-18,-79.89359520000001,40.4676261,EXACT
431,182225.0,2017-08-25T10:19:00,Board Up (PLI referral to DPW),Control Panel,1,DPW - Construction Division,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0275463673171,40.4706322900499,APPROXIMATE
432,189204.0,2017-09-25T11:41:00,Paving Concern/Problem,Call Center,1,DOMI - Asphalt,South Side Slopes,3.0,17.0,42003170600.0,3.0,17.0,3.0,4-6,-79.9878769,40.420611799999996,EXACT
433,181591.0,2017-08-23T13:06:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.027428,40.49236,EXACT
434,173280.0,2017-07-25T15:13:00,"Catch Basin, Clogged",Control Panel,1,Pittsburgh Water and Sewer Authority,Perry North,1.0,26.0,42003980400.0,1.0,26.0,1.0,1-15,-80.02469837665559,40.481942136458,EXACT
435,180454.0,2017-08-18T11:46:00,Traffic,Call Center,1,Police - Zones 1-6,Brookline,4.0,19.0,42003191900.0,5.0,19.0,6.0,4-26,-80.01624029999999,40.393521,EXACT
436,188263.0,2017-09-20T11:47:00,Sewers,Control Panel,1,Pittsburgh Water and Sewer Authority,Mount Washington,3.0,18.0,42003180700.0,5.0,18.0,3.0,4-5,-80.0023542,40.4224765,EXACT
437,188426.0,2017-09-21T08:24:00,Collapsed Catch Basin,Call Center,1,Pittsburgh Water and Sewer Authority,Bloomfield,7.0,8.0,42003080600.0,2.0,8.0,5.0,3-23,-79.9378007,40.4571752,EXACT
438,187143.0,2017-09-15T11:33:00,Zoning Issue,Call Center,1,"Permits, Licenses and Inspections",Squirrel Hill South,5.0,14.0,42003141300.0,3.0,14.0,4.0,2-21,-79.9300868591511,40.4308848629326,APPROXIMATE
439,188293.0,2017-09-20T13:17:00,Paving Concern/Problem,Control Panel,1,DOMI - Asphalt,Allentown,3.0,18.0,42003180300.0,5.0,18.0,3.0,4-21,-79.9949031,40.4200994,EXACT
440,122390.0,2016-12-22T12:44:00,Litter,Twitter,1,DPW - Street Maintenance,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-80.0024977,40.442202,EXACT
441,141348.0,2017-03-27T13:36:00,"City Steps, Need Repaired",Call Center,1,DOMI - Streets,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0259814387619,40.49404072109579,EXACT
442,125125.0,2017-01-12T08:46:00,Utility Cut - Other,Call Center,1,DOMI - Permits,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0352134,40.468162799999995,EXACT
443,187862.0,2017-09-19T10:11:00,Sinkhole,Control Panel,1,DPW - Street Maintenance,Knoxville,3.0,30.0,42003300100.0,5.0,30.0,3.0,4-7,-79.9916997,40.40890039999999,EXACT
444,187523.0,2017-09-18T10:54:00,Road,Call Center,1,DOMI - Permits,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.99608690000001,40.4427906,EXACT
445,183552.0,2017-08-30T12:15:00,Barricades,Call Center,1,DPW - Street Maintenance,Central Lawrenceville,7.0,9.0,42003090100.0,2.0,9.0,2.0,3-3,-79.96090759999998,40.4724906,EXACT
446,182780.0,2017-08-28T13:40:00,Playground,Call Center,1,DPW - Park Maintenance,Allegheny Center,1.0,22.0,42003562700.0,1.0,22.0,1.0,1-7,-80.0140043,40.452422799999994,EXACT
447,143237.0,2017-04-04T17:31:00,Lights,Call Center,1,DPW - Park Maintenance,Central Northside,6.0,25.0,42003250300.0,1.0,25.0,1.0,1-21,-80.01238359999999,40.457943,EXACT
448,53067.0,2016-03-07T09:03:00,Paving Concern/Problem,Call Center,1,DOMI - Asphalt,South Side Flats,3.0,17.0,42003170200.0,3.0,17.0,3.0,4-24,-79.97801209999999,40.4266676,EXACT
449,179515.0,2017-08-15T12:06:00,Potholes,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-26,-80.0111008,40.409546999999996,EXACT
450,166416.0,2017-06-30T09:56:00,Drainage/Leak,Call Center,1,DPW - Street Maintenance,St. Clair,3.0,16.0,42003561700.0,3.0,16.0,3.0,4-8,-79.9771733,40.4118179,EXACT
451,172812.0,2017-07-24T13:29:00,Refuse Violations,Call Center,1,DPW - Refuse,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.0384670301979,40.4838207982775,APPROXIMATE
452,186471.0,2017-09-13T10:30:00,Potholes,Call Center,1,DPW - Street Maintenance,Lower Lawrenceville,7.0,6.0,42003060300.0,2.0,6.0,2.0,3-3,-79.9669304,40.4643811,EXACT
453,184043.0,2017-08-31T14:16:00,Traffic Signal Request,Call Center,1,DOMI - Traffic,Hazelwood,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-13,-79.9440967,40.4099765,EXACT
454,180505.0,2017-08-18T12:55:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Polish Hill,7.0,6.0,42003060500.0,6.0,6.0,2.0,2-6,-79.96413199999999,40.4587555,EXACT
455,186680.0,2017-09-13T16:06:00,Utility Pole,Call Center,1,DOMI - Permits,Brookline,4.0,19.0,42003191900.0,5.0,19.0,6.0,4-26,-80.02305799999999,40.398078000000005,EXACT
456,157494.0,2017-05-30T12:34:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Morningside,7.0,10.0,42003101400.0,2.0,10.0,5.0,3-7,-79.926982,40.4832648,EXACT
457,186769.0,2017-09-14T09:00:00,Refuse Violations,Call Center,1,DPW - Refuse,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.0127487649786,40.48618577674279,APPROXIMATE
458,186620.0,2017-09-13T14:09:00,Public Right of Way,Call Center,1,DPW - Street Maintenance,Central Business District,6.0,3.0,42003020100.0,6.0,3.0,2.0,2-4,-79.9920475,40.4416114,EXACT
459,186523.0,2017-09-13T11:47:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Bloomfield,7.0,8.0,42003080200.0,2.0,8.0,5.0,3-6,-79.94892829999999,40.4615886,EXACT
460,186068.0,2017-09-12T09:01:00,Junk Vehicles,Call Center,1,"Permits, Licenses and Inspections",Arlington,3.0,16.0,42003561600.0,3.0,16.0,3.0,4-8,-79.97375047415579,40.414812326946,APPROXIMATE
461,186093.0,2017-09-12T09:28:00,Hydrant,Twitter,1,Pittsburgh Water and Sewer Authority,Point Breeze,9.0,14.0,42003140600.0,3.0,14.0,4.0,3-14,-79.90730671786041,40.447810233957895,EXACT
462,158288.0,2017-06-01T10:59:00,Potholes,Call Center,1,DPW - Street Maintenance,Bon Air,4.0,18.0,42003562400.0,5.0,18.0,3.0,4-18,-80.0062223,40.410440200000004,EXACT
463,116425.0,2016-11-15T15:16:00,"Litter Can, Public",Twitter,1,DPW - Street Maintenance,Squirrel Hill South,5.0,14.0,42003980500.0,3.0,14.0,4.0,2-21,-79.9335528323242,40.4343136903853,EXACT
464,166793.0,2017-07-03T08:49:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Swisshelm Park,5.0,14.0,42003141100.0,3.0,14.0,4.0,2-19,-79.8990722,40.4206087,EXACT
465,147493.0,2017-04-24T09:34:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Upper Hill,6.0,5.0,42003050600.0,3.0,5.0,2.0,2-22,-79.9615927,40.4487519,EXACT
466,176710.0,2017-08-04T14:58:00,"Litter Can, Public",Call Center,1,DPW - Street Maintenance,Terrace Village,6.0,5.0,42003051000.0,3.0,5.0,2.0,2-1,-79.97470129999999,40.4431862,EXACT
467,162338.0,2017-06-15T15:19:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Knoxville,3.0,30.0,42003300100.0,5.0,30.0,3.0,4-6,-79.9931345,40.41800429999999,EXACT
468,153882.0,2017-05-16T09:45:00,Curb/Request for Asphalt Windrow,Call Center,3,DPW - Street Maintenance,South Side Slopes,3.0,16.0,42003160800.0,3.0,16.0,3.0,4-22,-79.9693124,40.4205315,EXACT
469,124955.0,2017-01-11T10:58:00,Potholes,Call Center,1,DPW - Street Maintenance,North Shore,1.0,22.0,42003981200.0,6.0,22.0,1.0,1-7,-80.0152597,40.4482636,EXACT
470,124930.0,2017-01-11T10:01:00,Potholes,Call Center,1,DPW - Street Maintenance,Chateau,6.0,22.0,42003980600.0,6.0,22.0,1.0,1-8,-80.0178322,40.4480394,EXACT
471,167606.0,2017-07-06T10:12:00,Blocked or Closed Sidewalks,Control Panel,1,DOMI - Permits,Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.00410924432529,40.461566339465,APPROXIMATE
472,185223.0,2017-09-07T11:48:00,Sidewalk/Curb/HC Ramp Maintenance,Call Center,1,DOMI - Permits,South Side Flats,3.0,16.0,42003160900.0,3.0,16.0,3.0,4-24,-79.96861008243421,40.4258750518927,APPROXIMATE
473,182022.0,2017-08-24T14:40:00,Missed Pick Up,Call Center,1,DPW - Refuse,Stanton Heights,9.0,10.0,42003100500.0,2.0,10.0,5.0,3-7,-79.9341514287031,40.476086455876,APPROXIMATE
474,163812.0,2017-06-21T11:06:00,City Source (CDBG),Call Center,1,"City Source Associates, Inc.",Upper Hill,6.0,5.0,42003050600.0,3.0,5.0,2.0,2-22,-79.96186292749941,40.452331964046294,APPROXIMATE
475,183981.0,2017-08-31T12:32:00,Patrol,Call Center,1,Police - Zones 1-6,Spring Hill-City View,1.0,26.0,42003262000.0,1.0,26.0,1.0,1-11,-79.998610902261,40.47076845215629,APPROXIMATE
476,184913.0,2017-09-06T11:20:00,Potholes,Report2Gov Android,1,DOMI - Streets,Chateau,6.0,21.0,42003980600.0,6.0,21.0,1.0,1-8,-80.01844312995671,40.447879617162,EXACT
477,165713.0,2017-06-28T10:42:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Summer Hill,1.0,26.0,42003261200.0,1.0,26.0,1.0,1-15,-80.0162558,40.497649700000004,EXACT
478,172308.0,2017-07-21T13:13:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Greenfield,5.0,15.0,42003151700.0,3.0,15.0,4.0,2-15,-79.9316512625656,40.4246727161537,EXACT
479,176914.0,2017-08-06T22:22:00,Tree Fallen Across Sidewalk,Control Panel,1,DPW - Street Maintenance,Squirrel Hill North,8.0,14.0,42003140300.0,3.0,14.0,4.0,2-18,-79.91690940000001,40.441473200000004,EXACT
480,181444.0,2017-08-23T08:45:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Garfield,9.0,11.0,42003111400.0,2.0,11.0,5.0,3-4,-79.9321095,40.46718189999999,EXACT
481,181438.0,2017-08-23T08:35:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Garfield,9.0,11.0,42003111400.0,2.0,11.0,5.0,3-4,-79.9321095,40.46718189999999,EXACT
482,184511.0,2017-09-05T09:52:00,Water Main Break,Call Center,1,Pittsburgh Water and Sewer Authority,Central Northside,1.0,22.0,42003220600.0,1.0,22.0,1.0,1-6,-80.00648199999999,40.456027,EXACT
483,160160.0,2017-06-07T15:16:00,Request New Sign,Control Panel,1,DOMI - Traffic,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0305638,40.4756724,EXACT
484,183184.0,2017-08-29T13:22:00,Hydrant - Fire Admin,Call Center,1,Fire Bureau,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.979631741934,40.4688958142065,APPROXIMATE
485,184436.0,2017-09-05T07:08:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,South Shore,3.0,18.0,42003980700.0,5.0,18.0,3.0,4-27,-80.0018908,40.430173499999995,EXACT
486,184438.0,2017-09-05T07:09:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,South Shore,3.0,18.0,42003980700.0,5.0,18.0,3.0,4-27,-80.0018908,40.430173499999995,EXACT
487,183846.0,2017-08-31T10:08:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Chateau,6.0,22.0,42003980600.0,6.0,22.0,1.0,1-8,-80.0178322,40.4480394,EXACT
488,183462.0,2017-08-30T10:20:00,Street Cleaning/Sweeping,Call Center,1,DPW - Street Maintenance,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.04359140000001,40.4875208,EXACT
489,183455.0,2017-08-30T10:09:00,Collapsed Catch Basin,Twitter,1,Pittsburgh Water and Sewer Authority,South Side Slopes,3.0,16.0,42003160800.0,3.0,16.0,3.0,4-22,-79.9711772,40.4211807,EXACT
490,173712.0,2017-07-26T16:31:00,Building Maintenance,Website,1,"Permits, Licenses and Inspections",Perry South,6.0,26.0,42003261500.0,1.0,26.0,1.0,1-23,-80.00957864638559,40.473159625684204,APPROXIMATE
491,181197.0,2017-08-22T11:37:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Homewood South,9.0,13.0,42003130300.0,2.0,13.0,5.0,3-17,-79.9002385139465,40.4543275605561,EXACT
492,183494.0,2017-08-30T11:05:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.9850417,40.3925889,EXACT
493,184093.0,2017-08-31T16:15:00,"Manhole Covers, PWSA",Call Center,1,Pittsburgh Water and Sewer Authority,South Oakland,6.0,4.0,42003040900.0,3.0,4.0,4.0,2-10,-79.9622598,40.4345376,EXACT
494,183644.0,2017-08-30T14:19:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Knoxville,3.0,30.0,42003300100.0,5.0,30.0,3.0,4-7,-79.9948039392868,40.4085425990327,EXACT
495,183783.0,2017-08-31T08:18:00,Tree Removal,Call Center,1,DPW - Forestry Division,Central Lawrenceville,7.0,9.0,42003090200.0,2.0,9.0,2.0,3-3,-79.9592194,40.46718,EXACT
496,166927.0,2017-07-03T12:29:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Spring Hill-City View,1.0,26.0,42003262000.0,1.0,26.0,1.0,1-11,-79.99683470000001,40.470895299999995,EXACT
497,181243.0,2017-08-22T12:47:00,Street Cleaning/Sweeping,Call Center,1,DPW - Street Maintenance,Bon Air,4.0,18.0,42003562400.0,5.0,18.0,3.0,4-18,-80.0037096,40.40585,EXACT
498,182970.0,2017-08-29T08:18:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,North Shore,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-5,-79.9926821,40.453166700000004,EXACT
499,182041.0,2017-08-24T14:58:00,Board Up (PLI referral to DPW),Control Panel,1,DPW - Construction Division,East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-5,-79.9972551187868,40.4574008715252,APPROXIMATE
500,157681.0,2017-05-30T17:02:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.01072009999999,40.390555799999994,EXACT
501,164141.0,2017-06-22T09:51:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.01244709999999,40.39053,EXACT
502,182584.0,2017-08-28T08:56:00,Potholes,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.01742349999999,40.391283200000004,EXACT
503,164140.0,2017-06-22T09:51:00,Potholes,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.01244709999999,40.39053,EXACT
504,181938.0,2017-08-24T12:04:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Central Business District,6.0,1.0,42003020100.0,6.0,1.0,2.0,1-4,-80.0058186,40.4382744,EXACT
505,183142.0,2017-08-29T12:41:00,Bus Shelter,Control Panel,1,Lamar Advertising,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.98585859999999,40.4597155,EXACT
506,183064.0,2017-08-29T10:51:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Sheraden,2.0,20.0,42003202200.0,5.0,20.0,6.0,1-16,-80.0708422,40.4526765,EXACT
